"subject" "activity" "count" "average"
25 "SITTING" 3366 -0.65066692512142
25 "STANDING" 3366 -0.631116990143984
25 "WALKING" 4488 -0.463593621143576
25 "WALKING_DOWNSTAIRS" 1683 -0.425060148252454
25 "WALKING_UPSTAIRS" 6171 -0.479151716458428
26 "LAYING" 3366 -0.634609177946723
26 "SITTING" 5610 -0.642793332648485
26 "STANDING" 6732 -0.646502137809664
26 "WALKING" 5610 -0.387708354441193
26 "WALKING_DOWNSTAIRS" 3366 -0.327249299504011
26 "WALKING_UPSTAIRS" 6732 -0.415330473970757
27 "LAYING" 6732 -0.633628189466358
27 "SITTING" 6732 -0.652880368087802
27 "STANDING" 6732 -0.642787653940483
27 "WALKING" 561 -0.394578339293939
27 "WALKING_DOWNSTAIRS" 2244 -0.290100185780998
27 "WALKING_UPSTAIRS" 2805 -0.424125022942282
28 "LAYING" 5049 -0.641488138281493
28 "SITTING" 3366 -0.623741648779949
28 "STANDING" 3366 -0.645445677514917
28 "WALKING" 3366 -0.379071944077983
28 "WALKING_UPSTAIRS" 5610 -0.39721654818175
29 "SITTING" 4488 -0.64112876098947
29 "STANDING" 7854 -0.648885208676887
29 "WALKING" 7293 -0.333631390078228
29 "WALKING_DOWNSTAIRS" 3366 -0.304566318650327
29 "WALKING_UPSTAIRS" 3366 -0.337245060944917
30 "LAYING" 5049 -0.65473424184422
30 "SITTING" 5610 -0.647519080654891
30 "STANDING" 6732 -0.601676026674793
30 "WALKING" 3366 -0.38760227169041
30 "WALKING_DOWNSTAIRS" 3366 -0.33094875997664
30 "WALKING_UPSTAIRS" 3366 -0.453877157323723
